"DateTime";"Humedad %"
"2023-04-01 00:14:33";84,8
"2023-04-01 00:34:33";81,8
"2023-04-01 00:54:33";81,5
"2023-04-01 01:14:33";80,5
"2023-04-01 01:34:33";81,1
"2023-04-01 01:54:33";81,1
"2023-04-01 02:14:33";84,7
"2023-04-01 02:34:33";87,4
"2023-04-01 02:54:33";88,8
"2023-04-01 03:14:33";90,4
"2023-04-01 03:34:33";90,8
"2023-04-01 03:54:33";89,5
"2023-04-01 04:14:33";82,4
"2023-04-01 04:34:33";81,8
"2023-04-01 04:54:33";81,2
"2023-04-01 05:14:33";80,1
"2023-04-01 05:34:33";81,4
"2023-04-01 05:54:33";82,6
"2023-04-01 06:14:33";82,1
"2023-04-01 06:34:33";81,1
"2023-04-01 06:54:33";74,6
"2023-04-01 07:14:33";70,2
"2023-04-01 07:34:33";64,8
"2023-04-01 07:54:33";62,2
"2023-04-01 08:14:33";60,3
"2023-04-01 08:34:33";58,3
"2023-04-01 08:54:33";59,5
"2023-04-01 09:14:33";57,2
"2023-04-01 09:34:33";58,4
"2023-04-01 09:54:33";56,6
"2023-04-01 10:14:33";59
"2023-04-01 10:34:33";57,2
"2023-04-01 10:54:33";56,5
"2023-04-01 11:14:33";56,9
"2023-04-01 11:34:33";57,3
"2023-04-01 11:54:33";57,9
"2023-04-01 12:14:33";61
"2023-04-01 12:34:33";60,9
"2023-04-01 12:54:33";58,2
"2023-04-01 13:14:33";58,9
"2023-04-01 13:34:33";62,3
"2023-04-01 13:54:33";61,7
"2023-04-01 14:14:33";64,6
"2023-04-01 14:34:33";64
"2023-04-01 14:54:33";64,9
"2023-04-01 15:14:33";61,4
"2023-04-01 15:34:33";70,5
"2023-04-01 15:54:33";72,8
"2023-04-01 16:14:33";70,7
"2023-04-01 16:34:33";72
"2023-04-01 16:54:33";72,9
"2023-04-01 17:14:33";73
"2023-04-01 17:34:33";73,6
"2023-04-01 17:54:33";78,4
"2023-04-01 18:14:33";78,4
"2023-04-01 18:34:33";77,4
"2023-04-01 18:54:33";76,7
"2023-04-01 19:14:33";77,1
"2023-04-01 19:34:33";77,8
"2023-04-01 19:54:33";76,5
"2023-04-01 20:14:33";75,1
"2023-04-01 20:34:33";74,8
"2023-04-01 20:54:33";73,2
"2023-04-01 21:14:33";71,9
"2023-04-01 21:34:33";73,5
"2023-04-01 21:54:33";74,3
"2023-04-01 22:14:33";73
"2023-04-01 22:34:33";68,3
"2023-04-01 22:54:33";67
"2023-04-01 23:14:33";73,3
"2023-04-01 23:34:33";76,5
"2023-04-01 23:54:33";77,1
"2023-04-02 00:14:33";82,2
"2023-04-02 00:34:33";84
"2023-04-02 00:54:33";84,5
"2023-04-02 01:14:33";84,5
"2023-04-02 01:34:33";85,7
"2023-04-02 01:54:33";87
"2023-04-02 02:14:33";87,5
"2023-04-02 02:34:33";88,6
"2023-04-02 02:54:33";82,6
"2023-04-02 03:14:33";82,7
"2023-04-02 03:34:33";81,2
"2023-04-02 03:54:33";82,4
