"DateTime";"Temperatura Suelo °C"
"2023-04-01 00:13:51";20,67
"2023-04-01 00:33:51";20,59
"2023-04-01 00:53:51";20,56
"2023-04-01 01:13:51";20,48
"2023-04-01 01:33:51";20,44
"2023-04-01 01:53:51";20,37
"2023-04-01 02:13:50";20,33
"2023-04-01 02:33:51";20,27
"2023-04-01 02:53:51";20,23
"2023-04-01 03:13:51";20,16
"2023-04-01 03:33:51";20,12
"2023-04-01 04:13:51";20
"2023-04-01 04:33:51";19,96
"2023-04-01 04:53:51";19,88
"2023-04-01 05:13:51";19,85
"2023-04-01 05:33:51";19,77
"2023-04-01 05:53:51";19,75
"2023-04-01 06:13:51";19,68
"2023-04-01 06:33:51";19,65
"2023-04-01 06:53:51";19,59
"2023-04-01 07:13:51";19,55
"2023-04-01 07:33:51";19,5
"2023-04-01 07:53:51";19,45
"2023-04-01 08:13:51";19,45
"2023-04-01 08:33:51";19,44
"2023-04-01 08:53:51";19,43
"2023-04-01 09:13:51";19,43
"2023-04-01 09:33:51";19,43
"2023-04-01 09:53:51";19,44
"2023-04-01 10:13:51";19,45
"2023-04-01 10:33:51";19,45
"2023-04-01 10:53:51";19,48
"2023-04-01 11:13:51";19,52
"2023-04-01 11:33:51";19,55
"2023-04-01 11:53:51";19,59
"2023-04-01 12:13:51";19,65
"2023-04-01 12:33:51";19,71
"2023-04-01 12:53:51";19,76
"2023-04-01 13:13:51";19,85
"2023-04-01 13:33:51";19,94
"2023-04-01 13:53:51";20,03
"2023-04-01 14:13:51";20,13
"2023-04-01 14:33:51";20,25
"2023-04-01 14:53:51";20,36
"2023-04-01 15:13:51";20,47
"2023-04-01 15:33:51";20,58
"2023-04-01 15:53:51";20,71
"2023-04-01 16:13:51";20,83
"2023-04-01 16:33:51";20,96
"2023-04-01 16:53:51";21,04
"2023-04-01 17:13:51";21,1
"2023-04-01 17:33:51";21,18
"2023-04-01 17:53:51";21,22
"2023-04-01 18:13:51";21,28
"2023-04-01 18:33:51";21,29
"2023-04-01 18:53:51";21,29
"2023-04-01 19:33:51";21,29
"2023-04-01 19:53:51";21,29
"2023-04-01 20:13:51";21,26
"2023-04-01 20:33:51";21,2
"2023-04-01 20:53:51";21,18
"2023-04-01 21:33:51";21,08
"2023-04-01 21:53:51";21,05
"2023-04-01 22:33:51";20,95
"2023-04-01 22:53:51";20,88
"2023-04-01 23:13:51";20,82
"2023-04-01 23:33:51";20,77
"2023-04-01 23:53:51";20,71
"2023-04-02 00:33:51";20,59
"2023-04-02 00:53:51";20,56
"2023-04-02 01:13:51";20,48
"2023-04-02 01:33:51";20,43
"2023-04-02 01:53:51";20,37
"2023-04-02 02:13:51";20,31
"2023-04-02 02:33:51";20,26
"2023-04-02 02:53:51";20,18
"2023-04-02 03:13:51";20,15
"2023-04-02 03:53:51";20,04
"2023-04-02 04:13:51";19,96
"2023-04-02 04:33:51";19,92
"2023-04-02 04:53:51";19,86
"2023-04-02 05:53:51";19,74
"2023-04-02 06:13:51";19,66
"2023-04-02 06:53:51";19,58
"2023-04-02 07:13:51";19,55
"2023-04-02 07:33:51";19,51
"2023-04-02 08:13:51";19,45
"2023-04-02 08:33:51";19,44
"2023-04-02 08:53:51";19,42
"2023-04-02 09:13:51";19,41
"2023-04-02 09:33:51";19,41
"2023-04-02 09:53:51";19,42
"2023-04-02 10:13:51";19,43
"2023-04-02 10:53:51";19,45
"2023-04-02 11:13:51";19,46
"2023-04-02 11:33:51";19,52
"2023-04-02 11:53:51";19,55
"2023-04-02 12:13:51";19,6
"2023-04-02 12:33:51";19,65
"2023-04-02 12:53:51";19,71
"2023-04-02 13:13:51";19,76
"2023-04-02 13:33:51";19,85
"2023-04-02 13:53:51";19,94
"2023-04-02 14:13:51";20,02
"2023-04-02 14:33:51";20,1
"2023-04-02 14:53:51";20,18
"2023-04-02 15:13:51";20,29
"2023-04-02 15:33:51";20,39
"2023-04-02 15:53:51";20,51
"2023-04-02 16:33:51";20,72
"2023-04-02 16:53:51";20,8
"2023-04-02 17:33:51";20,98
"2023-04-02 17:53:51";21
"2023-04-02 18:13:51";21,05
"2023-04-02 18:33:51";21,08
"2023-04-02 18:53:51";21,08
"2023-04-02 19:13:51";21,08
"2023-04-02 19:33:51";21,08
"2023-04-02 19:53:51";21,07
"2023-04-02 20:13:51";21,05
"2023-04-02 20:33:51";21,01
"2023-04-02 20:53:51";20,98
"2023-04-02 21:13:51";20,98
"2023-04-02 21:33:51";20,94
"2023-04-02 21:53:51";20,89
"2023-04-02 22:13:51";20,87
"2023-04-02 22:33:51";20,82
"2023-04-02 22:53:51";20,78
"2023-04-02 23:13:51";20,77
"2023-04-02 23:33:51";20,71
"2023-04-02 23:53:51";20,67
"2023-04-03 00:13:51";20,65
"2023-04-03 00:33:51";20,59
"2023-04-03 00:53:51";20,57
"2023-04-03 01:13:51";20,54
"2023-04-03 01:33:51";20,48
"2023-04-03 01:53:51";20,46
"2023-04-03 02:13:51";20,41
"2023-04-03 02:33:52";20,37
"2023-04-03 02:53:51";20,36
"2023-04-03 03:13:52";20,31
"2023-04-03 03:33:52";20,27
"2023-04-03 03:53:51";20,26
"2023-04-03 04:13:52";20,22
"2023-04-03 04:33:52";20,17
"2023-04-03 04:53:51";20,16
"2023-04-03 05:33:52";20,08
"2023-04-03 05:53:51";20,06
"2023-04-03 06:13:51";20,04
"2023-04-03 06:33:52";19,99
"2023-04-03 06:53:52";19,96
"2023-04-03 07:13:52";19,95
"2023-04-03 07:33:52";19,91
"2023-04-03 07:53:52";19,87
"2023-04-03 08:13:52";19,86
"2023-04-03 08:33:51";19,85
"2023-04-03 08:53:52";19,84
"2023-04-03 09:13:51";19,82
"2023-04-03 09:33:52";19,81
"2023-04-03 09:53:52";19,81
"2023-04-03 10:13:51";19,82
"2023-04-03 10:33:52";19,84
"2023-04-03 10:53:52";19,85
"2023-04-03 11:13:52";19,86
"2023-04-03 11:33:51";19,88
"2023-04-03 12:33:52";20,05
"2023-04-03 12:53:52";20,11
"2023-04-03 13:13:52";20,18
"2023-04-03 13:33:52";20,27
"2023-04-03 13:53:52";20,37
"2023-04-03 14:13:52";20,49
"2023-04-03 14:33:51";20,61
"2023-04-03 14:53:52";20,76
"2023-04-03 15:13:52";20,88
"2023-04-03 15:33:52";21,04
"2023-04-03 16:13:52";21,33
"2023-04-03 16:33:52";21,48
"2023-04-03 16:53:51";21,59
"2023-04-03 17:13:52";21,7
"2023-04-03 17:33:52";21,8
"2023-04-03 17:53:51";21,89
"2023-04-03 18:13:52";21,93
"2023-04-03 18:33:52";22
"2023-04-03 18:53:51";22
"2023-04-03 19:13:52";22,01
"2023-04-03 19:33:52";22,01
